UniqueID,Tray,Genotype,GrandmaternalTemp,GrandmaternalVern,MaxLeafNumber,MaxLength,Bolting,Flower,FirstFruit,FirstYellowFruit,Generation,FlowerInterval,FruitInterval
Ag0_1,A,Ag0,High,Vernalized,24,27.63,30,35,39,54,Progeny,5,19
Ag0_10,J,Ag0,High,Vernalized,15,22.68,24,30,33,51,Progeny,6,21
Ag0_11,K,Ag0,High,Vernalized,24,26.44,34,40,43,57,Progeny,6,17
Ag0_12,L,Ag0,High,Vernalized,11,15.77,26,36,38,53,Progeny,10,17
Ag0_13,A,Ag0,High,Unvernalized,19,29.24,29,34,37,55,Progeny,5,21
Ag0_14,B,Ag0,High,Unvernalized,28,30.6,31,40,44,57,Progeny,9,17
Ag0_15,C,Ag0,High,Unvernalized,16,25.95,26,34,36,54,Progeny,8,20
Ag0_16,D,Ag0,High,Unvernalized,16,22.72,26,33,35,54,Progeny,7,21
Ag0_17,E,Ag0,High,Unvernalized,16,24.78,26,35,37,52,Progeny,9,17
Ag0_18,F,Ag0,High,Unvernalized,16,28.8,26,34,35,53,Progeny,8,19
Ag0_19,G,Ag0,High,Unvernalized,16,22.87,30,36,38,53,Progeny,6,17
Ag0_2,B,Ag0,High,Vernalized,16,21.25,25,34,41,60,Progeny,9,26
Ag0_20,H,Ag0,High,Unvernalized,24,25.77,28,34,36,60,Progeny,6,26
Ag0_21,I,Ag0,High,Unvernalized,14,22.98,26,33,37,52,Progeny,7,19
Ag0_22,J,Ag0,High,Unvernalized,26,29.96,29,35,36,57,Progeny,6,22
Ag0_23,K,Ag0,High,Unvernalized,16,25.51,26,35,38,53,Progeny,9,18
Ag0_24,L,Ag0,High,Unvernalized,14,21.76,26,34,36,54,Progeny,8,20
Ag0_26,B,Ag0,Low,Vernalized,22,29.71,28,36,40,46,Progeny,8,10
Ag0_28,D,Ag0,Low,Vernalized,20,23.86,30,39,41,58,Progeny,9,19
Ag0_29,E,Ag0,Low,Vernalized,21,23.46,30,36,39,54,Progeny,6,18
Ag0_3,C,Ag0,High,Vernalized,24,26,30,38,40,57,Progeny,8,19
Ag0_31,G,Ag0,Low,Vernalized,16,23.2,26,37,40,53,Progeny,11,16
Ag0_32,H,Ag0,Low,Vernalized,20,29.57,30,38,40,55,Progeny,8,17
Ag0_33,I,Ag0,Low,Vernalized,28,33.49,32,40,44,46,Progeny,8,6
Ag0_34,J,Ag0,Low,Vernalized,23,32.34,33,42,44,56,Progeny,9,14
Ag0_35,K,Ag0,Low,Vernalized,38,36.24,28,34,38,51,Progeny,6,17
Ag0_36,L,Ag0,Low,Vernalized,19,33.58,28,39,41,57,Progeny,11,18
Ag0_37,A,Ag0,Low,Unvernalized,15,30.71,23,29,32,51,Progeny,6,22
Ag0_38,B,Ag0,Low,Unvernalized,14,16,32,39,42,57,Progeny,7,18
Ag0_39,C,Ag0,Low,Unvernalized,16,28.11,26,39,43,58,Progeny,13,19
Ag0_4,D,Ag0,High,Vernalized,15,22.26,26,34,37,54,Progeny,8,20
Ag0_41,E,Ag0,Low,Unvernalized,16,23.58,26,35,39,54,Progeny,9,19
Ag0_42,F,Ag0,Low,Unvernalized,22,34.81,39,46,49,63,Progeny,7,17
Ag0_43,G,Ag0,Low,Unvernalized,22,29.69,34,43,45,59,Progeny,9,16
Ag0_44,H,Ag0,Low,Unvernalized,24,27.86,34,43,47,55,Progeny,9,12
Ag0_45,I,Ag0,Low,Unvernalized,21,25.18,30,34,37,51,Progeny,4,17
Ag0_46,J,Ag0,Low,Unvernalized,16,25.96,26,35,38,52,Progeny,9,17
Ag0_47,K,Ag0,Low,Unvernalized,15,20.26,26,38,43,56,Progeny,12,18
Ag0_48,L,Ag0,Low,Unvernalized,28,39.17,37,44,46,60,Progeny,7,16
Ag0_5,E,Ag0,High,Vernalized,13,22.28,26,37,38,59,Progeny,11,22
Ag0_6,F,Ag0,High,Vernalized,15,21.77,32,40,42,61,Progeny,8,21
Ag0_7,G,Ag0,High,Vernalized,18,16.3,31,40,43,58,Progeny,9,18
Ag0_8,H,Ag0,High,Vernalized,16,29.86,26,34,37,52,Progeny,8,18
Ag0_9,I,Ag0,High,Vernalized,20,28.82,26,35,39,54,Progeny,9,19
Col0_1,A,Col0,High,Vernalized,31,34.33,32,41,47,61,Progeny,9,20
Col0_10,J,Col0,High,Vernalized,25,21.17,29,38,40,60,Progeny,9,22
Col0_12,L,Col0,High,Vernalized,29,29.8,34,40,47,62,Progeny,6,22
Col0_13,A,Col0,High,Unvernalized,26,34.93,39,46,49,63,Progeny,7,17
Col0_14,B,Col0,High,Unvernalized,26,23.32,36,45,47,64,Progeny,9,19
Col0_15,C,Col0,High,Unvernalized,25,23.83,34,40,45,60,Progeny,6,20
Col0_16,D,Col0,High,Unvernalized,30,20.92,40,50,54,69,Progeny,10,19
Col0_17,E,Col0,High,Unvernalized,31,24.36,32,39,43,59,Progeny,7,20
Col0_18,F,Col0,High,Unvernalized,24,27.98,41,52,54,69,Progeny,11,17
Col0_19,G,Col0,High,Unvernalized,23,28.05,34,43,45,60,Progeny,9,17
Col0_2,B,Col0,High,Vernalized,26,24.15,32,40,42,60,Progeny,8,20
Col0_21,I,Col0,High,Unvernalized,23,19.99,36,42,45,59,Progeny,6,17
Col0_22,J,Col0,High,Unvernalized,23,20.66,34,40,43,60,Progeny,6,20
Col0_23,K,Col0,High,Unvernalized,25,22.86,30,36,39,53,Progeny,6,17
Col0_24,L,Col0,High,Unvernalized,28,28.83,33,40,47,61,Progeny,7,21
Col0_25,A,Col0,Low,Vernalized,28,35.32,32,41,43,51,Progeny,9,10
Col0_26,B,Col0,Low,Vernalized,21,28.59,30,42,44,58,Progeny,12,16
Col0_27,C,Col0,Low,Vernalized,23,24.95,34,42,45,62,Progeny,8,20
Col0_29,E,Col0,Low,Vernalized,28,31.91,32,41,45,60,Progeny,9,19
Col0_3,C,Col0,High,Vernalized,24,29.69,26,41,47,60,Progeny,15,19
Col0_30,F,Col0,Low,Vernalized,22,31.42,30,41,43,58,Progeny,11,17
Col0_32,H,Col0,Low,Vernalized,28,23.53,34,44,50,54,Progeny,10,10
Col0_33,I,Col0,Low,Vernalized,27,31.31,32,39,44,59,Progeny,7,20
Col0_34,J,Col0,Low,Vernalized,24,29.18,30,41,43,57,Progeny,11,16
Col0_35,K,Col0,Low,Vernalized,18,20.29,26,38,42,59,Progeny,12,21
Col0_36,L,Col0,Low,Vernalized,26,32.17,31,40,44,59,Progeny,9,19
Col0_37,A,Col0,Low,Unvernalized,30,35.45,36,45,49,65,Progeny,9,20
Col0_4,D,Col0,High,Vernalized,28,20.84,38,45,47,61,Progeny,7,16
Col0_40,D,Col0,Low,Unvernalized,23,24.89,34,49,51,64,Progeny,15,15
Col0_41,E,Col0,Low,Unvernalized,30,25.59,36,43,46,63,Progeny,7,20
Col0_42,F,Col0,Low,Unvernalized,29,38.83,33,40,43,60,Progeny,7,20
Col0_44,H,Col0,Low,Unvernalized,17,22.49,26,40,42,59,Progeny,14,19
Col0_45,I,Col0,Low,Unvernalized,29,34.21,33,40,42,60,Progeny,7,20
Col0_46,J,Col0,Low,Unvernalized,26,21.47,33,38,41,55,Progeny,5,17
Col0_5,E,Col0,High,Vernalized,24,30.58,30,39,41,56,Progeny,9,17
Col0_6,F,Col0,High,Vernalized,27,30.52,34,42,46,63,Progeny,8,21
Col0_7,G,Col0,High,Vernalized,23,23.19,30,37,40,55,Progeny,7,18
Col0_8,H,Col0,High,Vernalized,25,23.04,33,38,40,60,Progeny,5,22
Col0_9,I,Col0,High,Vernalized,28,35.86,34,40,46,60,Progeny,6,20
Cvi0_1,A,Cvi0,High,Vernalized,15,24.21,27,34,37,56,Progeny,7,22
Cvi0_10,J,Cvi0,High,Vernalized,13,23.65,26,35,38,52,Progeny,9,17
Cvi0_11,K,Cvi0,High,Vernalized,14,20.23,26,34,38,53,Progeny,8,19
Cvi0_12,L,Cvi0,High,Vernalized,16,22.16,30,34,38,54,Progeny,4,20
Cvi0_14,B,Cvi0,High,Unvernalized,16,27.77,29,35,40,54,Progeny,6,19
Cvi0_15,C,Cvi0,High,Unvernalized,14,27,31,40,42,57,Progeny,9,17
Cvi0_16,D,Cvi0,High,Unvernalized,13,23.77,26,34,36,52,Progeny,8,18
Cvi0_17,E,Cvi0,High,Unvernalized,24,25,31,34,37,52,Progeny,3,18
Cvi0_18,F,Cvi0,High,Unvernalized,12,19.79,26,33,36,55,Progeny,7,22
Cvi0_19,G,Cvi0,High,Unvernalized,11,16.06,33,38,40,60,Progeny,5,22
Cvi0_2,B,Cvi0,High,Vernalized,13,18.03,25,33,35,50,Progeny,8,17
Cvi0_20,H,Cvi0,High,Unvernalized,14,23.7,36,41,44,59,Progeny,5,18
Cvi0_21,I,Cvi0,High,Unvernalized,17,31.08,30,36,39,51,Progeny,6,15
Cvi0_23,K,Cvi0,High,Unvernalized,8,8.84,19,26,27,55,Progeny,7,29
Cvi0_24,L,Cvi0,High,Unvernalized,13,23.55,31,38,41,57,Progeny,7,19
Cvi0_25,A,Cvi0,Low,Vernalized,13,24.01,26,33,37,50,Progeny,7,17
Cvi0_27,C,Cvi0,Low,Vernalized,13,22.79,26,33,35,52,Progeny,7,19
Cvi0_29,E,Cvi0,Low,Vernalized,14,24.57,30,36,38,52,Progeny,6,16
Cvi0_3,C,Cvi0,High,Vernalized,17,29.21,29,36,39,55,Progeny,7,19
Cvi0_34,J,Cvi0,Low,Vernalized,18,25.21,30,35,38,51,Progeny,5,16
Cvi0_36,L,Cvi0,Low,Vernalized,16,28.96,31,38,40,57,Progeny,7,19
Cvi0_37,A,Cvi0,Low,Unvernalized,11,17.01,26,34,36,51,Progeny,8,17
Cvi0_38,B,Cvi0,Low,Unvernalized,14,24.82,26,33,36,49,Progeny,7,16
Cvi0_39,C,Cvi0,Low,Unvernalized,16,25.02,25,29,33,49,Progeny,4,20
Cvi0_4,D,Cvi0,High,Vernalized,18,27.59,30,36,39,58,Progeny,6,22
Cvi0_42,F,Cvi0,Low,Unvernalized,12,23.73,27,34,37,56,Progeny,7,22
Cvi0_45,I,Cvi0,Low,Unvernalized,15,29.84,25,31,33,39,Progeny,6,8
Cvi0_46,J,Cvi0,Low,Unvernalized,14,27.33,26,35,37,48,Progeny,9,13
Cvi0_48,L,Cvi0,Low,Unvernalized,18,28.89,26,34,36,55,Progeny,8,21
Cvi0_5,E,Cvi0,High,Vernalized,14,19.28,26,32,35,56,Progeny,6,24
Cvi0_6,F,Cvi0,High,Vernalized,13,21.12,26,33,36,53,Progeny,7,20
Cvi0_7,G,Cvi0,High,Vernalized,18,24.35,34,38,41,56,Progeny,4,18
Cvi0_8,H,Cvi0,High,Vernalized,14,22.59,26,32,35,50,Progeny,6,18
Cvi0_9,I,Cvi0,High,Vernalized,14,27.35,31,38,40,57,Progeny,7,19
Cvi1_1,A,Cvi1,High,Vernalized,20,33.37,33,39,41,58,Progeny,6,19
Cvi1_10,J,Cvi1,High,Vernalized,8,14.16,28,33,37,54,Progeny,5,21
Cvi1_11,K,Cvi1,High,Vernalized,14,25.3,26,35,37,52,Progeny,9,17
Cvi1_13,A,Cvi1,High,Unvernalized,11,16.14,26,35,37,52,Progeny,9,17
Cvi1_14,B,Cvi1,High,Unvernalized,12,16.62,26,35,38,57,Progeny,9,22
Cvi1_15,C,Cvi1,High,Unvernalized,17,28.94,30,34,37,51,Progeny,4,17
Cvi1_16,D,Cvi1,High,Unvernalized,12,22.68,33,40,43,60,Progeny,7,20
Cvi1_17,E,Cvi1,High,Unvernalized,9,11.3,23,30,33,52,Progeny,7,22
Cvi1_19,G,Cvi1,High,Unvernalized,14,25.43,34,42,46,59,Progeny,8,17
Cvi1_2,B,Cvi1,High,Vernalized,12,19.59,32,40,43,60,Progeny,8,20
Cvi1_20,H,Cvi1,High,Unvernalized,13,23.28,25,30,33,51,Progeny,5,21
Cvi1_21,I,Cvi1,High,Unvernalized,14,27,25,30,32,51,Progeny,5,21
Cvi1_22,J,Cvi1,High,Unvernalized,17,27.35,28,37,39,54,Progeny,9,17
Cvi1_26,B,Cvi1,Low,Vernalized,15,27.85,28,33,35,49,Progeny,5,16
Cvi1_28,D,Cvi1,Low,Vernalized,13,24.75,25,33,35,51,Progeny,8,18
Cvi1_29,E,Cvi1,Low,Vernalized,16,23.15,30,37,39,55,Progeny,7,18
Cvi1_3,C,Cvi1,High,Vernalized,17,31.3,30,34,36,52,Progeny,4,18
Cvi1_30,F,Cvi1,Low,Vernalized,15,23,33,42,44,59,Progeny,9,17
Cvi1_32,H,Cvi1,Low,Vernalized,18,28.79,24,29,31,50,Progeny,5,21
Cvi1_34,J,Cvi1,Low,Vernalized,12,21.23,25,31,33,51,Progeny,6,20
Cvi1_38,B,Cvi1,Low,Unvernalized,15,16.98,26,35,38,54,Progeny,9,19
Cvi1_4,D,Cvi1,High,Vernalized,13,20.23,26,33,36,54,Progeny,7,21
Cvi1_5,E,Cvi1,High,Vernalized,10,19.01,32,41,43,61,Progeny,9,20
Cvi1_6,F,Cvi1,High,Vernalized,17,35.8,32,38,40,55,Progeny,6,17
Cvi1_7,G,Cvi1,High,Vernalized,16,29.26,30,35,41,56,Progeny,5,21
Cvi1_8,H,Cvi1,High,Vernalized,14,26.31,26,32,35,52,Progeny,6,20
Cvi1_9,I,Cvi1,High,Vernalized,16,29.7,30,34,36,52,Progeny,4,18
Ler_1,A,Ler,High,Vernalized,16,17.62,26,34,36,54,Progeny,8,20
Ler_11,K,Ler,High,Vernalized,15,21.23,26,35,39,60,Progeny,9,25
Ler_12,L,Ler,High,Vernalized,17,22.23,26,36,39,57,Progeny,10,21
Ler_13,A,Ler,High,Unvernalized,22,19.4,30,39,44,61,Progeny,9,22
Ler_14,B,Ler,High,Unvernalized,21,26.85,32,39,42,60,Progeny,7,21
Ler_15,C,Ler,High,Unvernalized,18,18.98,31,39,42,60,Progeny,8,21
Ler_16,D,Ler,High,Unvernalized,18,18.92,29,36,39,60,Progeny,7,24
Ler_17,E,Ler,High,Unvernalized,20,26.6,28,35,38,56,Progeny,7,21
Ler_18,F,Ler,High,Unvernalized,22,26.72,29,38,40,60,Progeny,9,22
Ler_19,G,Ler,High,Unvernalized,17,21.47,31,39,42,60,Progeny,8,21
Ler_2,B,Ler,High,Vernalized,15,18.87,27,35,38,56,Progeny,8,21
Ler_20,H,Ler,High,Unvernalized,17,22.67,24,37,38,59,Progeny,13,22
Ler_21,I,Ler,High,Unvernalized,16,26.6,25,32,35,60,Progeny,7,28
Ler_22,J,Ler,High,Unvernalized,16,19.26,25,35,39,60,Progeny,10,25
Ler_23,K,Ler,High,Unvernalized,16,21.07,26,33,35,54,Progeny,7,21
Ler_26,B,Ler,Low,Vernalized,15,16.55,32,41,45,61,Progeny,9,20
Ler_27,C,Ler,Low,Vernalized,16,19.89,25,35,39,60,Progeny,10,25
Ler_28,D,Ler,Low,Vernalized,18,19.7,28,35,39,57,Progeny,7,22
Ler_29,E,Ler,Low,Vernalized,25,21.21,30,40,43,62,Progeny,10,22
Ler_3,C,Ler,High,Vernalized,16,17.76,32,40,44,59,Progeny,8,19
Ler_30,F,Ler,Low,Vernalized,15,20.07,26,35,39,57,Progeny,9,22
Ler_31,G,Ler,Low,Vernalized,14,17.69,31,39,42,59,Progeny,8,20
Ler_32,H,Ler,Low,Vernalized,21,23.79,23,31,35,56,Progeny,8,25
Ler_33,I,Ler,Low,Vernalized,18,23.76,30,37,40,57,Progeny,7,20
Ler_34,J,Ler,Low,Vernalized,18,20.86,26,37,40,59,Progeny,11,22
Ler_35,K,Ler,Low,Vernalized,16,18.64,25,33,36,53,Progeny,8,20
Ler_36,L,Ler,Low,Vernalized,16,23.25,26,37,40,59,Progeny,11,22
Ler_37,A,Ler,Low,Unvernalized,20,23.23,30,40,42,60,Progeny,10,20
Ler_38,B,Ler,Low,Unvernalized,14,20.99,25,32,36,52,Progeny,7,20
Ler_39,C,Ler,Low,Unvernalized,17,25.23,22,30,33,57,Progeny,8,27
Ler_4,D,Ler,High,Vernalized,18,22.82,28,37,40,56,Progeny,9,19
Ler_40,D,Ler,Low,Unvernalized,19,27.02,28,36,39,57,Progeny,8,21
Ler_41,E,Ler,Low,Unvernalized,17,22.26,25,33,36,54,Progeny,8,21
Ler_42,F,Ler,Low,Unvernalized,18,24.37,32,38,42,57,Progeny,6,19
Ler_43,G,Ler,Low,Unvernalized,17,20.72,30,39,45,60,Progeny,9,21
Ler_44,H,Ler,Low,Unvernalized,16,22.42,27,33,36,55,Progeny,6,22
Ler_45,I,Ler,Low,Unvernalized,17,20.39,26,33,35,55,Progeny,7,22
Ler_46,J,Ler,Low,Unvernalized,16,16.33,26,35,39,57,Progeny,9,22
Ler_47,K,Ler,Low,Unvernalized,15,21.57,25,33,37,52,Progeny,8,19
Ler_48,L,Ler,Low,Unvernalized,15,18.91,26,37,40,57,Progeny,11,20
Ler_5,E,Ler,High,Vernalized,18,25.35,28,36,39,58,Progeny,8,22
Ler_6,F,Ler,High,Vernalized,22,26.63,29,36,39,60,Progeny,7,24
Ler_7,G,Ler,High,Vernalized,18,16.15,35,44,47,63,Progeny,9,19
Ler_8,H,Ler,High,Vernalized,14,19.67,26,35,37,54,Progeny,9,19
Ler_9,I,Ler,High,Vernalized,15,20.52,23,31,34,51,Progeny,8,20
Ler2_1,A,Ler2,High,Vernalized,15,23.67,26,35,38,57,Progeny,9,22
Ler2_10,J,Ler2,High,Vernalized,17,20.74,25,32,35,52,Progeny,7,20
Ler2_11,K,Ler2,High,Vernalized,13,23.21,23,33,38,59,Progeny,10,26
Ler2_12,L,Ler2,High,Vernalized,13,15.82,23,32,35,59,Progeny,9,27
Ler2_13,A,Ler2,High,Unvernalized,16,30.35,24,32,35,59,Progeny,8,27
Ler2_14,B,Ler2,High,Unvernalized,15,19.1,26,35,37,55,Progeny,9,20
Ler2_15,C,Ler2,High,Unvernalized,18,22.87,26,34,36,54,Progeny,8,20
Ler2_16,D,Ler2,High,Unvernalized,19,27.22,28,36,40,55,Progeny,8,19
Ler2_17,E,Ler2,High,Unvernalized,18,22.29,28,39,41,58,Progeny,11,19
Ler2_18,F,Ler2,High,Unvernalized,22,27.21,28,39,41,57,Progeny,11,18
Ler2_19,G,Ler2,High,Unvernalized,16,16.23,30,38,42,59,Progeny,8,21
Ler2_20,H,Ler2,High,Unvernalized,19,27.65,23,26,36,51,Progeny,3,25
Ler2_21,I,Ler2,High,Unvernalized,18,21.31,26,33,36,57,Progeny,7,24
Ler2_22,J,Ler2,High,Unvernalized,14,14.69,24,31,34,51,Progeny,7,20
Ler2_23,K,Ler2,High,Unvernalized,17,17.42,26,34,36,54,Progeny,8,20
Ler2_24,L,Ler2,High,Unvernalized,12,11.74,20,27,38,59,Progeny,7,32
Ler2_25,A,Ler2,Low,Vernalized,14,18.98,24,35,37,57,Progeny,11,22
Ler2_26,B,Ler2,Low,Vernalized,16,23.1,28,36,40,57,Progeny,8,21
Ler2_27,C,Ler2,Low,Vernalized,18,24.28,25,32,35,60,Progeny,7,28
Ler2_28,D,Ler2,Low,Vernalized,16,20.9,26,36,40,56,Progeny,10,20
Ler2_29,E,Ler2,Low,Vernalized,15,15.61,26,37,41,57,Progeny,11,20
Ler2_3,C,Ler2,High,Vernalized,17,24.16,28,37,39,56,Progeny,9,19
Ler2_30,F,Ler2,Low,Vernalized,18,25.21,31,40,43,62,Progeny,9,22
Ler2_32,H,Ler2,Low,Vernalized,15,21.27,26,33,37,53,Progeny,7,20
Ler2_33,I,Ler2,Low,Vernalized,15,22.38,25,33,36,57,Progeny,8,24
Ler2_34,J,Ler2,Low,Vernalized,16,16.35,26,35,39,55,Progeny,9,20
Ler2_35,K,Ler2,Low,Vernalized,15,21.89,26,32,36,55,Progeny,6,23
Ler2_36,L,Ler2,Low,Vernalized,19,35.31,29,36,39,56,Progeny,7,20
Ler2_37,A,Ler2,Low,Unvernalized,17,30.62,39,49,51,67,Progeny,10,18
Ler2_38,B,Ler2,Low,Unvernalized,17,22.25,26,35,39,60,Progeny,9,25
Ler2_39,C,Ler2,Low,Unvernalized,18,21.76,23,34,35,54,Progeny,11,20
Ler2_4,D,Ler2,High,Vernalized,16,18.01,25,35,37,58,Progeny,10,23
Ler2_40,D,Ler2,Low,Unvernalized,17,21.01,26,35,38,55,Progeny,9,20
Ler2_41,E,Ler2,Low,Unvernalized,16,24.88,25,33,36,60,Progeny,8,27
Ler2_43,G,Ler2,Low,Unvernalized,17,19.02,30,39,41,58,Progeny,9,19
Ler2_44,H,Ler2,Low,Unvernalized,17,22.68,26,33,37,52,Progeny,7,19
Ler2_46,J,Ler2,Low,Unvernalized,16,22.69,29,36,38,55,Progeny,7,19
Ler2_47,K,Ler2,Low,Unvernalized,14,17.86,26,33,37,52,Progeny,7,19
Ler2_48,L,Ler2,Low,Unvernalized,18,23.29,26,36,39,57,Progeny,10,21
Ler2_7,G,Ler2,High,Vernalized,17,27.83,34,43,45,61,Progeny,9,18
Ler2_9,I,Ler2,High,Vernalized,17,26.03,23,32,36,57,Progeny,9,25
Wa1_1,A,Wa1,High,Vernalized,15,20.28,21,30,33,54,Progeny,9,24
Wa1_10,J,Wa1,High,Vernalized,16,13.58,26,32,35,53,Progeny,6,21
Wa1_11,K,Wa1,High,Vernalized,12,15.8,22,30,31,56,Progeny,8,26
Wa1_12,L,Wa1,High,Vernalized,15,23.84,23,31,34,51,Progeny,8,20
Wa1_13,A,Wa1,High,Unvernalized,12,18.89,21,31,34,55,Progeny,10,24
Wa1_14,B,Wa1,High,Unvernalized,13,16.01,25,34,37,53,Progeny,9,19
Wa1_15,C,Wa1,High,Unvernalized,14,12.34,18,29,32,51,Progeny,11,22
Wa1_17,E,Wa1,High,Unvernalized,12,15.31,22,32,33,54,Progeny,10,22
Wa1_18,F,Wa1,High,Unvernalized,16,24.45,27,37,40,55,Progeny,10,18
Wa1_19,G,Wa1,High,Unvernalized,17,18.61,29,38,43,55,Progeny,9,17
Wa1_2,B,Wa1,High,Vernalized,11,15.22,22,31,35,50,Progeny,9,19
